variable,pct_nonnegative,n_nonnegative,n_numeric,n_rows,documentation_url,definition_lead
bwtk,0.4033,679,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bwtk,Birthweight kilograms
bwtg5,0.0517,87,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bwtg5,Birthweight: more than 5.5lbs (2.5kg)
lprnt_bh,15.3269,25807,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/lprnt_bh,Natural parent of children   (BHPS)
hhorig_bh,25.6995,43272,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/hhorig_bh,"Sample origin, household (BHPS)"
ethn_dv,91.2975,153724,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/ethn_dv,Ethnic group (derived from multiple sources)
ethn_dv_source,91.2975,153724,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/ethn_dv_source,Source for ethn_dv
genetics,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/genetics,genome wide snp data available
epigenetics,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/epigenetics,dna methylation data available
plbornd,16.3389,27511,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/plbornd,District of birth
masemp,8.2612,13910,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/masemp,"Mother self employed, resp. aged 14  (BHPS)"
maboss,0.7899,1330,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/maboss,"Mother had employees, resp. aged 14  (BHPS)"
mamngr,7.2159,12150,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/mamngr,"Mother was manager, resp. aged 14    (BHPS)"
maseg,8.1323,13693,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/maseg,Socio economic group: mothers's job
magold,7.2379,12187,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/magold,Goldthorpe Social Class: mothers's job
margsc,8.1323,13693,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/margsc,RG Social Class: mothers's job
maiscon,7.3092,12307,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/maiscon,International SOC (num): mother's job    (BHPS)
pasemp,14.0298,23623,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/pasemp,"Father self employed, resp. aged 14  (BHPS)"
paboss,2.6803,4513,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/paboss,"Father had employees, resp. aged 14  (BHPS)"
pamngr,10.7901,18168,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/pamngr,"Father was manager, resp. aged 14    (BHPS)"
paseg,13.936,23465,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/paseg,Socio economic group: father's job   (BHPS)
pagold,11.9464,20115,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/pagold,Goldthorpe Social Class: father's job    (BHPS)
