variable_id,description,pct_nonnegative
n_pride4a,Pride in own religion,6.6001
n_pride4b,Pride in religion brought up in,0.6068
n_pride6,Pride in birth country,4.1964
n_pride7,Pride in region brought up in,8.5455
n_pride5,Pride in region live in,7.9068
n_pride8,Pride in mother's COB,3.6653
n_pride9,Pride in father's COB,0.7067
n_pride10,Pride in maternal grandmother's COB,1.5128
n_pride11,Pride in maternal grandfather's COB,0.1339
n_pride12,Pride in paternal grandmother's COB,0.1276
n_pride13,Pride in paternal grandfather's COB,0.1067
n_pride14,Pride in colour of skin,6.7025
n_food1,Eats food from where born,10.973
n_food2,Eats food from mother's COB,5.0253
n_food3,Eats food from father's COB,1.0801
n_food4,Eats food from maternal grandmother's COB,1.9983
n_food5,Eats food from maternal grandfather's COB,0.2333
n_food6,Eats food from paternal grandmother's COB,0.2367
n_food7,Eats food from paternal grandfather's COB,0.2023
n_servuse1,Service use in last 12 months: Your local doctor,17.7887
n_servuse2,Service use in last 12 months: A local hospital,17.7887
n_servuse3,Service use in last 12 months: Social care services,17.7887
n_servuse4,Service use in last 12 months: A council housing department or housing associati,17.7887
n_servuse5,Service use in last 12 months: Police service,17.7887
n_servuse6,"Service use in last 12 months: Local leisure services, such as swimming pool, te",17.7887
n_servuse7,Service use in last 12 months: Adult education classes,17.7887
n_servuse8,Service use in last 12 months: A public library,17.7887
n_servuse9,Service use in last 12 months: A job centre,17.7887
n_servuse10,Service use in last 12 months: Advice services such as those relating to benefit,17.7887
n_servuse96,Service use in last 12 months: SPONTANEOUS: None of the above,17.7887
n_disdif1,Type of impairment or disability: Mobility (moving around at home and walking),67.5277
n_disdif2,"Type of impairment or disability: Lifting, carrying or moving objects",67.5277
n_disdif3,Type of impairment or disability: Manual dexterity (using your hands to carry ou,67.5277
n_disdif4,Type of impairment or disability: Continence (bladder and bowel control),67.5277
n_disdif5,Type of impairment or disability: Hearing (apart from using a standard hearing a,67.5277
n_disdif6,Type of impairment or disability: Sight (apart from wearing standard glasses),67.5277
n_disdif7,Type of impairment or disability: Communication or speech problems,67.5277
n_disdif8,"Type of impairment or disability: Memory or ability to concentrate, learn or und",67.5277
n_disdif9,Type of impairment or disability: Recognising when you are in physical danger,67.5277
n_disdif10,Type of impairment or disability: Your physical co-ordination (e.g. balance),67.5277
n_disdif11,Type of impairment or disability: Difficulties with own personal care,67.5277
n_disdif12,Type of impairment or disability: Other health problem or disability,67.5277
n_disdif96,Type of impairment or disability: None of these,67.5277
n_dissev1,How much difficulty do you have with Mobility,12.4523
n_dissev2,"How much difficulty do you have with Lifting, carrying or moving objects",12.3107
n_dissev3,How much difficulty do you have with Manual dexterity,5.0068
n_dissev4,How much difficulty do you have with Continence,4.2567
